episode,avg_waiting_time,final_waiting_time,avg_queue_length,avg_speed,steps
1,20948.15,43050.0,65.42,1.8577,720
2,60817.75,158749.0,96.77,1.4994,720
3,45361.48,38529.0,94.65,1.4672,720
4,30010.77,42426.0,87.14,1.6862,720
5,33526.98,36983.0,92.25,1.3964,720
6,23100.57,20976.0,75.02,1.7508,720
7,27432.2,22816.0,88.83,1.8571,720
8,25365.53,22913.0,82.76,1.8624,720
9,20262.52,29460.0,81.87,1.9029,720
10,27989.42,7172.0,83.33,1.8227,720
11,21673.69,31013.0,83.05,1.9128,720
12,42202.48,60710.0,87.76,1.6072,720
13,17234.6,40960.0,77.7,1.8237,720
14,29029.06,21600.0,86.22,1.701,720
15,16919.62,21934.0,80.93,1.89,720
16,26290.21,13818.0,78.52,1.4496,720
17,15672.17,11598.0,75.06,1.8601,720
18,28744.17,51205.0,88.19,1.5851,720
19,25062.35,77649.0,89.42,1.5114,720
20,28248.03,36783.0,86.75,1.5442,720
21,26316.33,9849.0,84.88,1.668,720
22,13557.72,5495.0,73.45,1.6188,720
23,13968.14,16817.0,72.75,1.8456,720
24,20021.48,24094.0,75.6,1.6576,720
25,19839.23,31021.0,83.09,1.8137,720
26,35825.78,17489.0,78.1,1.8642,720
27,32419.48,116295.0,79.02,1.9616,720
28,14993.81,24428.0,73.53,2.0897,720
29,22595.38,39564.0,79.79,1.7877,720
30,33785.26,15633.0,90.2,1.6607,720
31,26837.55,32325.0,85.77,1.8234,720
32,34596.08,39633.0,83.8,1.8333,720
33,27292.99,6125.0,77.7,1.9451,720
34,30826.93,72757.0,91.52,1.6155,720
35,22433.79,22242.0,78.33,1.5403,720
36,25293.1,47978.0,93.5,1.5118,720
37,48782.51,59981.0,94.26,1.4603,720
38,23898.48,26488.0,80.14,1.9199,720
39,31626.73,14947.0,80.37,1.8632,720
40,25570.57,13172.0,82.09,1.6646,720
41,16438.22,8342.0,71.53,1.5927,720
42,31305.98,49811.0,83.79,1.324,720
43,40526.55,80095.0,92.54,1.6357,720
44,24366.91,30429.0,79.84,1.9063,720
45,37871.66,24124.0,91.58,1.5308,720
46,29788.14,27156.0,73.21,1.8881,720
47,24122.47,15737.0,80.42,1.8614,720
48,24695.74,27113.0,78.22,1.8981,720
49,21700.18,28898.0,84.68,1.8078,720
50,15526.19,36207.0,72.58,1.9016,720
51,35892.55,28273.0,77.82,1.7574,720
52,22869.97,45548.0,77.16,1.8957,720
53,19922.2,35053.0,82.97,1.6783,720
54,28808.49,60551.0,83.13,1.9213,720
55,17727.89,8917.0,80.42,1.8308,720
56,38552.17,11907.0,90.68,1.3373,720
57,24696.03,16759.0,87.88,1.656,720
58,35027.7,36307.0,89.68,1.7397,720
59,33706.46,64139.0,86.53,1.5114,720
60,36425.46,49995.0,86.25,1.1069,720
61,22376.34,26951.0,73.71,1.769,720
62,24743.07,26511.0,74.7,1.8735,720
63,33035.22,58189.0,87.01,1.7323,720
64,21815.88,28895.0,81.92,1.7121,720
65,40933.39,24546.0,69.15,1.8807,720
66,43760.86,62063.0,76.5,1.6871,720
67,35875.97,1802.0,87.67,1.6707,720
68,38008.11,74546.0,90.85,1.6213,720
69,19034.88,32318.0,77.4,1.6301,720
70,11682.39,17047.0,72.22,1.8816,720
71,14940.68,36009.0,70.81,2.0305,720
72,27646.29,55824.0,76.39,1.5101,720
73,36569.14,16623.0,90.07,1.4876,720
74,19578.5,19583.0,76.48,1.457,720
75,36533.17,56469.0,89.16,1.6298,720
76,14463.19,3229.0,64.29,1.8205,720
77,60824.52,65811.0,89.49,1.2711,720
78,19688.47,21946.0,83.76,1.6022,720
79,44757.23,69928.0,95.49,1.4132,720
80,78450.29,59351.0,100.14,1.2825,720
81,31160.19,25997.0,94.61,1.5444,720
82,28656.26,85797.0,77.45,1.8002,720
83,14479.75,48307.0,69.93,2.0634,720
84,23844.48,21137.0,78.6,1.3298,720
85,13653.88,25344.0,71.02,1.773,720
86,19294.65,30298.0,85.07,1.6301,720
87,26573.37,23716.0,76.82,1.8149,720
88,42038.49,107333.0,87.42,1.7412,720
89,39271.24,100249.0,77.72,1.706,720
90,34108.59,14293.0,87.93,1.5664,720
91,39951.6,52917.0,90.58,1.6793,720
92,22861.87,9665.0,79.52,1.7331,720
93,33445.53,81606.0,82.0,1.4222,720
94,30328.6,51035.0,86.09,1.5586,720
95,30511.6,55495.0,83.88,1.3961,720
96,24981.18,31669.0,76.15,1.9283,720
97,29881.82,23814.0,75.38,1.4154,720
98,28684.87,38883.0,85.14,1.391,720
99,42540.83,40622.0,90.04,1.4434,720
100,23615.29,23225.0,87.94,1.4385,720
101,32201.98,14964.0,78.03,1.7636,720
102,25775.15,9668.0,89.98,1.6674,720
103,18217.32,26105.0,81.71,1.7797,720
104,21425.35,13724.0,81.28,1.725,720
105,35799.96,52148.0,88.15,1.2662,720
106,48463.38,14605.0,87.56,1.8304,720
107,19195.22,75527.0,77.1,1.8651,720
108,17114.92,22694.0,70.16,1.8854,720
109,51394.87,11928.0,87.64,1.2604,720
110,36524.6,53112.0,85.78,1.215,720
111,15557.6,34157.0,74.95,1.9431,720
112,32141.51,46626.0,92.68,1.4937,720
113,24170.45,33799.0,81.36,1.8282,720
114,37678.43,32725.0,80.1,1.8652,720
115,15398.37,14174.0,73.58,1.8838,720
116,56674.53,123647.0,88.64,1.4671,720
117,20354.24,13041.0,81.06,1.867,720
118,21769.16,18811.0,86.45,1.6676,720
119,28023.92,18852.0,86.25,1.7143,720
120,51336.15,133081.0,93.11,1.5273,720
121,18334.85,17519.0,83.16,1.675,720
122,12399.93,25833.0,66.67,1.8732,720
123,27512.92,17522.0,83.28,1.6133,720
124,17736.84,51942.0,74.56,1.8686,720
125,42948.42,29119.0,97.92,1.4255,720
126,34153.08,76510.0,90.83,1.5387,720
127,23660.69,15217.0,83.8,1.7954,720
128,33497.59,63468.0,90.9,1.5065,720
129,61414.5,120235.0,84.3,1.8568,720
130,16053.15,2316.0,70.12,1.8253,720
131,19065.6,27808.0,78.12,1.4641,720
132,22879.48,26852.0,75.52,1.516,720
133,57035.72,127525.0,94.17,1.1191,720
134,54081.78,56777.0,89.64,1.4467,720
135,30533.79,61436.0,74.67,1.9782,720
136,22185.92,54475.0,78.12,1.9589,720
137,29843.87,4126.0,84.97,1.6925,720
