model,episode,step,waiting_time,queue_length,mean_speed
Random,1,0,0.0,0,11.988301090704793
Random,1,1,0.0,0,12.284219940443807
Random,1,2,4.0,3,7.173545405337039
Random,1,3,41.0,9,6.3478215950934755
Random,1,4,89.0,11,3.9157889692645345
Random,1,5,99.0,9,4.466048872876447
Random,1,6,136.0,8,6.124465516935657
Random,1,7,98.0,6,7.282549504520363
Random,1,8,143.0,10,7.148349454701109
Random,1,9,206.0,14,5.500263307824311
Random,1,10,294.0,20,3.7337247825023034
Random,1,11,403.0,22,1.4057228030546847
Random,1,12,529.0,28,2.0173426249106443
Random,1,13,631.0,25,1.699310154580622
Random,1,14,765.0,29,4.715537307699093
Random,1,15,910.0,29,3.887891795910183
Random,1,16,728.0,29,2.560686534537345
Random,1,17,796.0,29,2.841635109184749
Random,1,18,957.0,33,4.085728627383359
Random,1,19,1103.0,33,3.173410760284167
Random,1,20,1276.0,35,2.6236461231088932
Random,1,21,1460.0,39,2.878146610032753
Random,1,22,1595.0,37,2.7853464671795622
Random,1,23,1782.0,38,1.504110646803039
Random,1,24,1481.0,38,1.4625654948140963
Random,1,25,913.0,28,2.414680493885637
Random,1,26,580.0,23,2.7176268782379047
Random,1,27,342.0,23,2.2344524866524944
Random,1,28,250.0,23,2.438201510382139
Random,1,29,280.0,27,2.5802658322956833
Random,1,30,435.0,33,2.2911853880874467
Random,1,31,490.0,41,1.7600077640773013
Random,1,32,484.0,36,2.211443599241107
Random,1,33,462.0,28,2.873907990440393
Random,1,34,443.0,25,2.3835590760575434
Random,1,35,217.0,22,2.191785860692347
Random,1,36,254.0,27,3.650956606610424
Random,1,37,395.0,30,3.9288818140880077
Random,1,38,433.0,39,2.6789923091804706
Random,1,39,394.0,30,3.355340476290855
Random,1,40,276.0,23,3.056029171813206
Random,1,41,246.0,23,2.528436409081828
Random,1,42,192.0,18,2.2139662162473415
Random,1,43,216.0,16,4.104727780759816
Random,1,44,261.0,18,4.0860928957370035
Random,1,45,353.0,26,1.8578393283270946
Random,1,46,315.0,26,2.07465595641623
Random,1,47,450.0,33,2.2630739437166887
Random,1,48,645.0,42,1.7538583782290038
Random,1,49,875.0,49,0.40687193723712645
Random,1,50,834.0,46,1.711200281111497
Random,1,51,940.0,40,3.144233378274633
Random,1,52,1142.0,41,3.4903908346279335
Random,1,53,1361.0,46,2.25770207982364
Random,1,54,1591.0,46,1.1076818573300296
Random,1,55,1690.0,42,0.8773418436078607
Random,1,56,1900.0,42,1.88683649784392
Random,1,57,2112.0,44,3.1822889774162975
Random,1,58,2332.0,44,2.2693682367488823
Random,1,59,2552.0,44,1.1022710730576195
Random,1,60,2301.0,44,1.3623383196898973
Random,1,61,1726.0,34,2.342007242146974
Random,1,62,1234.0,25,3.207367397629009
Random,1,63,689.0,22,2.8938779804359376
Random,1,64,160.0,19,3.30410793936142
Random,1,65,172.0,20,3.9299482540752284
Random,1,66,291.0,28,3.298222104510862
Random,1,67,462.0,39,2.327176158533943
Random,1,68,620.0,38,1.985188893864483
Random,1,69,810.0,38,2.671226768091663
Random,1,70,1000.0,38,2.6245157840745983
Random,1,71,1190.0,38,1.3240758602864178
Random,1,72,1385.0,40,2.188994989806702
Random,1,73,1585.0,40,2.026036921497987
Random,1,74,1788.0,42,1.112459362897061
Random,1,75,1633.0,40,1.4801695898419749
Random,1,76,1208.0,31,2.7994427513583817
Random,1,77,829.0,23,3.0068944459155644
Random,1,78,380.0,18,2.4944157579422925
Random,1,79,111.0,17,3.650314838510561
Random,1,80,198.0,22,3.5863334905990016
Random,1,81,199.0,24,2.914063578011736
Random,1,82,165.0,25,3.603859425557005
Random,1,83,171.0,22,4.4865205027016195
Random,1,84,159.0,16,4.15464496058429
Random,1,85,186.0,17,3.227444723055351
Random,1,86,199.0,20,3.5791841643866924
Random,1,87,319.0,27,3.574994664265496
Random,1,88,476.0,34,2.3636793476661393
Random,1,89,690.0,46,1.075937954640426
Random,1,90,708.0,46,0.3622863748410633
Random,1,91,871.0,42,2.4056685181595907
Random,1,92,1083.0,43,2.4194676967864974
Random,1,93,1309.0,47,1.9662178277976936
Random,1,94,1430.0,43,1.7115521414253205
Random,1,95,1645.0,43,1.9427087409213246
Random,1,96,1871.0,47,1.6791406261564317
Random,1,97,2111.0,48,0.37841331421858304
Random,1,98,2198.0,44,0.8667341338081366
Random,1,99,2384.0,41,2.327072501950851
Random,1,100,2528.0,39,3.318528863182376
Random,1,101,2731.0,41,3.3619897306916164
Random,1,102,2398.0,35,2.603941089754726
Random,1,103,1708.0,30,2.6696521328287854
Random,1,104,1094.0,24,3.087777091004267
Random,1,105,481.0,22,2.6980976918476713
Random,1,106,248.0,23,2.6248494947684406
Random,1,107,383.0,30,0.9941708817613814
Random,1,108,373.0,32,2.3441127723511475
Random,1,109,516.0,36,2.806926347219992
Random,1,110,708.0,40,2.9315279917887276
Random,1,111,896.0,38,2.726012743013727
Random,1,112,1088.0,39,2.409068768130549
Random,1,113,1287.0,40,1.659496183875597
Random,1,114,1487.0,40,0.385781038728562
Random,1,115,1690.0,42,2.1471073614392164
Random,1,116,1900.0,42,2.1621836009123823
Random,1,117,1781.0,39,1.227124256047719
Random,1,118,1343.0,34,2.761782849723813
Random,1,119,756.0,20,3.083323615741366
Random,1,120,326.0,15,3.435873983138484
Random,1,121,130.0,15,3.477938493267825
Random,1,122,147.0,11,4.771603406340388
Random,1,123,129.0,9,4.778959800056682
Random,1,124,189.0,16,3.054094510418068
Random,1,125,240.0,19,2.426332710725232
Random,1,126,291.0,17,2.936967988075203
Random,1,127,212.0,15,3.5189626856011493
Random,1,128,266.0,16,3.511799241962025
Random,1,129,366.0,25,3.988956687520652
Random,1,130,506.0,31,2.792580964958146
Random,1,131,568.0,34,0.7729869800913601
Random,1,132,596.0,37,2.1893248266760206
Random,1,133,570.0,28,3.0667571554645696
Random,1,134,601.0,26,3.505331873819573
Random,1,135,635.0,24,3.1832567517547523
Random,1,136,775.0,31,2.8475487991486066
Random,1,137,467.0,32,2.5608664576810387
Random,1,138,447.0,36,2.1826549154894557
Random,1,139,596.0,40,2.5815694144016046
Random,1,140,811.0,46,1.9414797655221667
Random,1,141,982.0,40,2.0408420006507053
Random,1,142,1169.0,40,2.7261543064232563
Random,1,143,1075.0,34,2.774224075958614
Random,1,144,784.0,26,4.59234046424922
Random,1,145,571.0,22,4.301653581623198
Random,1,146,317.0,21,2.668280664214957
Random,1,147,123.0,19,2.939196402410008
Random,1,148,237.0,26,3.034055646675676
