episode,avg_waiting_time,final_waiting_time,avg_queue_length,avg_speed,steps
1,1350.92,1106.0,41.12,2.3016,720
2,1204.7,492.0,38.6,2.4586,720
3,1252.28,768.0,38.72,2.4437,720
4,920.62,4108.0,32.47,2.7151,720
5,952.04,583.0,35.25,2.5933,720
6,900.05,1422.0,35.72,2.6178,720
7,841.21,485.0,32.12,2.9019,720
8,614.8,454.0,30.2,2.9824,720
9,736.95,1621.0,31.45,2.9867,720
10,823.92,1590.0,33.43,2.8894,720
11,473.28,555.0,26.76,3.2773,720
12,636.08,1408.0,29.56,3.1266,720
13,676.66,454.0,30.17,3.1269,720
14,1272.47,266.0,35.28,2.8449,720
15,716.34,446.0,30.0,3.0961,720
16,645.64,497.0,28.12,3.2992,720
17,1019.6,188.0,34.52,3.1508,720
18,755.89,618.0,29.31,3.282,720
19,721.81,731.0,31.89,3.1526,720
20,756.86,227.0,33.08,3.0036,720
21,519.52,642.0,25.79,3.4877,720
22,505.59,1136.0,24.54,3.7138,720
23,651.31,650.0,25.58,3.7265,720
24,735.97,1246.0,26.87,3.4602,720
25,834.76,856.0,29.73,3.4362,720
26,1154.66,820.0,30.68,3.5407,720
27,760.8,532.0,27.37,3.4091,720
28,717.49,1718.0,26.55,3.7321,720
29,804.45,202.0,28.17,3.6443,720
30,1324.18,572.0,36.98,3.1084,720
31,675.13,431.0,27.39,3.5046,720
32,789.86,860.0,28.72,3.5554,720
33,625.7,430.0,22.05,4.0645,720
34,1135.98,1432.0,31.33,3.474,720
35,994.09,289.0,25.84,3.8768,720
36,916.72,1196.0,29.47,3.4889,720
37,999.2,273.0,28.41,3.7349,720
38,798.34,444.0,22.94,4.2578,720
39,871.42,798.0,28.11,3.8749,720
40,1018.07,3778.0,28.35,3.5087,720
41,966.02,1539.0,29.46,3.6746,720
42,977.1,555.0,22.81,4.34,720
43,885.68,894.0,26.63,3.8637,720
44,810.02,1126.0,24.14,4.2263,720
45,1150.63,742.0,24.53,4.1326,720
46,955.77,1353.0,25.17,4.0935,720
47,1421.8,1179.0,28.74,3.79,720
48,1233.97,324.0,24.49,4.2497,720
49,815.85,1554.0,22.5,4.3927,720
50,776.63,1622.0,24.94,4.1267,720
51,1941.57,860.0,26.78,4.1668,720
52,1029.96,1032.0,26.3,3.9246,720
53,781.32,1566.0,24.16,4.2331,720
54,702.24,628.0,19.88,4.6737,720
55,928.43,973.0,27.18,3.7698,720
56,1136.09,415.0,27.73,3.7274,720
57,614.44,445.0,21.65,4.3255,720
58,7932.65,3325.0,39.04,3.378,720
59,1062.78,771.0,22.16,4.5022,720
60,1381.32,1168.0,26.04,4.0316,720
61,773.67,466.0,22.31,4.4167,720
62,878.9,201.0,26.21,4.0382,720
63,2399.16,293.0,31.5,3.6937,720
64,1129.23,396.0,26.97,3.8576,720
65,2992.83,422.0,30.13,3.8567,720
66,1164.82,2442.0,26.97,4.1491,720
67,1508.8,2619.0,24.61,4.2486,720
68,940.68,493.0,23.58,4.3187,720
69,1555.41,1291.0,25.03,4.0593,720
70,1522.15,3091.0,23.9,4.2368,720
71,1334.82,812.0,25.79,4.0723,720
72,1981.44,2824.0,26.91,3.9849,720
73,1540.72,4272.0,26.47,4.0424,720
74,729.65,374.0,23.54,4.3453,720
75,793.77,468.0,22.53,4.2727,720
76,2421.64,1395.0,29.74,3.7867,720
77,3617.36,907.0,35.54,3.3573,720
78,717.53,268.0,21.47,4.3501,720
79,1370.23,684.0,28.01,3.6356,720
80,1093.75,1017.0,23.0,4.2476,720
81,1737.02,6097.0,24.31,4.1688,720
82,1692.06,566.0,30.62,3.7365,720
83,880.13,499.0,23.22,4.3281,720
84,643.14,486.0,18.61,4.7931,720
85,1101.74,201.0,23.08,4.2641,720
86,1623.44,1629.0,26.07,3.9911,720
87,1709.37,7787.0,24.8,4.2495,720
88,1430.84,4563.0,25.52,4.1938,720
89,1445.13,420.0,21.75,4.5459,720
90,867.07,429.0,20.73,4.6644,720
91,1656.72,362.0,26.25,4.0775,720
92,687.86,500.0,19.55,4.7611,720
93,1139.73,1370.0,22.89,4.3205,720
94,2488.46,6449.0,32.15,3.6743,720
95,1193.09,774.0,22.56,4.5724,720
96,787.26,882.0,22.87,4.2788,720
97,1533.5,2118.0,24.76,4.1724,720
98,1732.96,4354.0,26.1,4.0487,720
99,2550.68,220.0,31.85,3.5113,720
100,829.21,362.0,23.79,4.0319,720
101,802.11,1804.0,20.72,4.5066,720
102,681.47,716.0,21.38,4.3948,720
103,929.71,1522.0,22.6,4.2645,720
104,2895.68,1863.0,27.61,3.9227,720
105,2392.7,6036.0,31.61,3.4653,720
106,690.99,226.0,18.8,4.821,720
107,810.49,901.0,22.82,4.2575,720
108,914.41,871.0,22.16,4.2612,720
109,1562.53,115.0,25.85,3.9188,720
110,1995.72,548.0,25.14,4.1744,720
111,1736.79,813.0,24.61,4.0135,720
112,805.9,3027.0,21.97,4.4398,720
113,1054.43,199.0,21.67,4.5171,720
114,737.69,2003.0,20.08,4.6349,720
115,792.19,948.0,19.99,4.7084,720
116,1029.98,255.0,23.06,4.3429,720
117,850.6,887.0,23.41,4.2164,720
118,601.05,1430.0,19.58,4.6264,720
119,1322.88,371.0,22.42,4.3153,720
120,2357.19,1934.0,29.31,3.9052,720
121,1516.93,2434.0,24.9,4.1698,720
122,1103.33,303.0,23.56,4.1379,720
123,796.69,757.0,20.6,4.615,720
124,1353.1,475.0,27.35,3.7167,720
125,1023.11,1591.0,22.0,4.5306,720
126,535.59,1825.0,20.11,4.531,720
127,950.45,722.0,20.24,4.6194,720
128,658.16,552.0,20.84,4.4096,720
129,1841.06,1638.0,23.92,4.2053,720
130,1456.76,903.0,24.93,4.1122,720
131,2666.04,3159.0,28.28,4.0457,720
132,1473.4,788.0,22.4,4.5074,720
133,882.53,403.0,22.31,4.3581,720
134,1531.64,1733.0,22.87,4.4919,720
135,2029.61,715.0,26.43,4.0766,720
136,1277.46,2469.0,21.38,4.6526,720
137,4427.38,5296.0,34.34,3.758,720
138,1054.8,615.0,20.31,4.7052,720
139,1374.18,5534.0,23.5,4.2244,720
140,808.19,5101.0,21.02,4.5293,720
141,814.97,1532.0,21.11,4.4894,720
142,13767.94,4319.0,41.85,3.192,720
143,469.03,256.0,18.42,4.7962,720
144,2744.78,1078.0,27.18,4.1562,720
145,2545.49,729.0,26.86,3.9598,720
146,3518.55,3898.0,36.28,3.428,720
147,3174.82,6572.0,27.4,4.2383,720
148,1486.53,1884.0,25.26,4.0483,720
149,3097.73,857.0,29.91,3.9751,720
150,905.74,1760.0,20.1,4.7283,720
151,2039.8,291.0,25.85,4.1628,720
152,1200.69,1635.0,21.87,4.4971,720
153,3054.51,1675.0,29.88,3.8446,720
154,1673.29,489.0,22.74,4.5357,720
155,4490.74,5037.0,34.91,3.6281,720
156,1121.07,380.0,21.47,4.5791,720
157,2520.62,4905.0,25.39,4.2476,720
158,967.41,1383.0,21.68,4.4481,720
159,2345.3,5841.0,27.32,4.0559,720
160,4219.97,1547.0,38.88,3.162,720
